CustomerID,Age,Annual_Income_kUSD,Spending_Score,Total_Transactions,Avg_Order_Value,Web_Engagement_Score
CUST-001,19,15,39,12,25.5,4.2
CUST-002,21,15,81,38,18.2,8.9
CUST-003,20,16,6,4,12.0,1.5
CUST-004,23,16,77,35,22.1,8.1
CUST-005,31,17,40,15,31.4,4.0
CUST-006,22,17,76,34,19.5,7.8
CUST-007,35,18,6,3,15.2,1.2
CUST-008,23,18,94,42,24.0,9.5
CUST-009,64,19,3,2,11.0,0.8
CUST-010,30,19,72,31,21.8,7.6
CUST-011,67,19,14,5,16.5,2.1
CUST-012,35,19,99,45,28.0,9.9
CUST-013,58,20,15,6,14.2,1.9
CUST-014,24,20,77,33,23.4,8.0
CUST-015,37,20,13,4,18.0,2.3
CUST-016,22,20,79,36,20.5,8.4
CUST-017,35,21,35,14,35.0,4.5
CUST-018,20,21,66,29,19.0,7.1
CUST-019,52,23,29,10,26.5,3.2
CUST-020,35,23,98,44,27.8,9.7
CUST-021,35,24,35,13,32.0,4.1
CUST-022,25,24,73,32,22.0,7.9
CUST-023,46,25,5,3,12.5,1.0
CUST-024,31,25,73,31,24.5,7.7
CUST-025,54,28,14,6,15.8,2.0
CUST-026,29,28,82,37,26.0,8.7
CUST-027,45,28,32,11,28.4,3.8
CUST-028,35,28,61,28,25.0,6.9
CUST-029,40,29,31,12,30.0,3.9
CUST-030,23,29,87,39,27.5,9.1
CUST-031,60,30,4,2,10.5,0.7
CUST-032,21,30,73,30,21.0,7.8
CUST-033,53,33,4,2,14.0,1.1
CUST-034,18,33,92,41,25.2,9.3
CUST-035,49,33,14,5,16.0,2.2
CUST-036,21,33,81,36,23.8,8.6
CUST-037,42,34,17,7,19.5,2.7
CUST-038,30,34,73,33,25.0,7.9
CUST-039,36,37,26,9,27.0,3.1
CUST-040,20,37,75,34,22.5,8.0
CUST-041,65,38,35,13,38.0,4.2
CUST-042,24,38,92,40,26.4,9.4
CUST-043,48,39,36,14,40.2,4.4
CUST-044,31,39,61,27,24.8,6.8
CUST-045,49,39,28,10,29.1,3.5
CUST-046,24,39,65,29,23.0,7.2
CUST-047,50,40,55,22,48.0,5.8
CUST-048,27,40,47,20,44.5,5.1
CUST-049,29,40,42,18,41.0,4.8
CUST-050,31,40,42,17,42.5,4.9
CUST-051,49,42,52,21,46.0,5.5
CUST-052,33,42,60,24,50.0,6.2
CUST-053,31,43,54,23,49.2,5.7
CUST-054,59,43,60,25,52.0,6.4
CUST-055,50,43,45,19,43.0,5.0
CUST-056,47,43,41,18,40.5,4.7
CUST-057,51,44,50,21,47.5,5.4
CUST-058,69,44,46,20,45.0,5.1
CUST-059,27,46,51,22,48.2,5.6
CUST-060,53,46,46,20,44.8,5.2
CUST-061,19,46,55,23,51.0,5.9
CUST-062,38,47,55,24,53.2,6.0
CUST-063,67,47,52,22,49.0,5.6
CUST-064,54,47,59,25,54.0,6.3
CUST-065,63,48,51,21,48.5,5.5
CUST-066,18,48,59,24,52.5,6.2
CUST-067,43,48,50,22,47.0,5.4
CUST-068,68,48,48,20,46.2,5.3
CUST-069,19,48,59,25,53.8,6.3
CUST-070,32,48,47,20,45.5,5.2
CUST-071,70,49,55,23,50.5,5.8
CUST-072,47,49,42,18,42.0,4.8
CUST-073,60,50,49,21,46.8,5.3
CUST-074,60,50,56,24,51.5,6.0
CUST-075,59,54,47,20,45.2,5.2
CUST-076,26,54,54,23,49.8,5.7
CUST-077,45,54,53,22,48.9,5.6
CUST-078,40,54,48,21,46.5,5.3
CUST-079,23,54,52,22,47.8,5.5
CUST-080,49,54,42,18,41.5,4.7
CUST-081,57,54,51,22,48.0,5.6
CUST-082,38,54,55,23,50.2,5.8
CUST-083,67,54,41,17,40.0,4.6
CUST-084,46,54,44,19,43.5,5.0
CUST-085,21,54,57,24,52.0,6.1
CUST-086,48,54,46,20,44.9,5.2
CUST-087,55,57,58,25,53.5,6.2
CUST-088,22,57,55,23,51.2,5.9
CUST-089,34,58,60,26,55.0,6.5
CUST-090,50,58,46,20,45.5,5.3
CUST-091,68,59,55,24,52.8,6.0
CUST-092,18,59,41,17,39.5,4.5
CUST-093,48,60,49,21,47.2,5.4
CUST-094,40,60,40,17,38.8,4.4
CUST-095,32,60,42,18,40.2,4.7
CUST-096,24,60,52,22,48.5,5.6
CUST-097,47,60,47,20,46.0,5.3
CUST-098,27,60,50,21,47.0,5.4
CUST-099,48,61,42,18,41.2,4.8
CUST-100,20,61,49,21,46.9,5.3
CUST-101,23,62,41,17,39.8,4.6
CUST-102,49,62,48,20,45.8,5.2
CUST-103,67,62,59,25,54.2,6.3
CUST-104,26,62,55,23,51.5,5.9
CUST-105,49,62,56,24,52.2,6.0
CUST-106,21,62,42,18,41.0,4.7
CUST-107,66,63,50,21,47.6,5.4
CUST-108,54,63,46,20,45.2,5.2
CUST-109,68,63,43,18,42.8,4.9
CUST-110,66,63,48,20,46.0,5.3
CUST-111,65,63,52,22,48.8,5.6
CUST-112,19,63,54,23,50.8,5.8
CUST-113,38,64,42,18,40.5,4.7
CUST-114,19,64,46,20,44.2,5.1
CUST-115,18,65,48,21,46.8,5.3
CUST-116,19,65,50,22,47.9,5.5
CUST-117,63,65,43,18,42.5,4.8
CUST-118,49,65,59,25,54.5,6.4
CUST-119,51,67,43,18,42.0,4.7
CUST-120,50,67,57,24,53.0,6.1
CUST-121,27,67,56,24,52.4,6.0
CUST-122,38,67,40,17,39.0,4.4
CUST-123,40,69,58,25,54.0,6.2
CUST-124,39,69,91,48,185.0,9.2
CUST-125,23,70,29,12,68.0,3.4
CUST-126,31,70,77,42,165.5,8.8
CUST-127,43,71,35,14,75.0,3.9
CUST-128,40,71,95,50,192.0,9.6
CUST-129,59,71,11,5,45.0,1.8
CUST-130,38,71,75,41,160.0,8.5
CUST-131,47,71,9,4,42.0,1.5
CUST-132,39,71,75,40,158.0,8.4
CUST-133,25,72,34,13,72.5,3.8
CUST-134,31,72,71,39,152.0,8.2
CUST-135,20,73,5,3,38.0,1.2
CUST-136,29,73,88,46,180.0,9.1
CUST-137,44,73,7,3,40.0,1.3
CUST-138,32,73,73,40,155.0,8.3
CUST-139,19,74,10,4,44.5,1.7
CUST-140,35,74,72,39,150.0,8.1
CUST-141,57,75,5,2,35.0,1.0
CUST-142,32,75,93,49,190.0,9.5
CUST-143,28,76,40,16,85.0,4.2
CUST-144,32,76,87,45,178.0,9.0
CUST-145,25,77,12,5,48.0,1.9
CUST-146,28,77,97,52,205.0,9.8
CUST-147,48,77,36,15,78.0,4.0
CUST-148,32,77,74,41,162.0,8.4
CUST-149,34,78,22,9,62.0,2.9
CUST-150,30,78,97,51,200.0,9.7
CUST-151,43,78,17,7,55.0,2.4
CUST-152,39,78,88,47,182.5,9.2
CUST-153,44,78,20,8,58.0,2.6
CUST-154,38,78,76,42,164.0,8.6
CUST-155,47,78,16,6,52.0,2.2
CUST-156,27,78,89,48,186.0,9.3
CUST-157,37,78,1,1,28.0,0.5
CUST-158,30,78,78,43,168.0,8.7
CUST-159,34,78,1,1,30.0,0.6
CUST-160,30,78,73,40,154.0,8.2
CUST-161,56,79,35,14,76.0,4.0
CUST-162,29,79,83,45,175.0,8.9
CUST-163,19,81,5,2,36.0,1.1
CUST-164,31,81,93,49,191.0,9.6
CUST-165,50,85,26,10,65.0,3.2
